iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor	gene
ENST00000647561.1	ENST00000528328.1	0.0353672195523888	0.0261008171349465	[1,3.6072]	(3.6072,4]	3.60718138908814	8.05401921172285	0.888888888888889	1.0	4.51367732231039	-3.37205963558294	0.0038457937870906	0.0427059511423746	3	1	0.888888888888889	7.88573695789334	-0.0769801864149304	4723
ENST00000533725.5	ENST00000531354.2	0.046632789596717	0.0859614890543852	[1,3.4818]	(3.4818,4]	3.48182143113221	7.58004986817295	0.888888888888889	1.0	-10.5798714614962	13.2597997392463	0.0089897427196901	0.0240433518951891	3	1	0.888888888888889	23.8396712007425	-0.793771896120141	10072
ENST00000524972.5	ENST00000529403.1	0.0190621439295256	0.0118016125434455	[1,3.5747]	(3.5747,4]	3.57472482625405	4.30854088748393	0.888888888888889	1.0	3.30412115143062	-3.50130766427035	0.0030249090489386	0.0007960920712321	3	1	0.888888888888889	6.80542881570098	-0.213926173122575	51075
ENST00000525005.5	ENST00000534147.5	0.045568559130978	0.0654582358789606	[1,3.2178]	(3.2178,4]	3.21779570492337	0.812752789070212	0.888888888888889	1.0	0.58245934748693	-2.99184937672481	0.0126940297569331	0.0307650991878445	3	1	0.888888888888889	3.57430872421174	-0.678263894352137	n
ENST00000396978.1	ENST00000533217.1	0.0834973117018507	0.22040469786225	[1,3.6952]	(3.6952,4]	3.6951918303934	1.02188087686014	0.888888888888889	1.0	-2.2173880217705	0.956493198178368	0.0108124511316128	0.017760610159802	3	1	0.888888888888889	3.17388121994887	-0.690201069898126	n
ENST00000677618.1	ENST00000676934.1	0.0144628891596747	0.012467572097962	[1,3.344]	(3.344,4]	3.34396388866588	3.15064531911081	0.888888888888889	1.0	3.01267736764492	-6.90924837048188	0.003723023092326	0.0291028443465411	3	1	0.888888888888889	9.92192573812681	-0.58876744076793	8729
ENST00000626968.2	ENST00000370151.9	0.525800551561901	0.449988311065948	[1,3.6566]	(3.6566,4]	3.65657306993849	20.366880786753	0.111111111111111	0.0	5.17669826116674	-2.6500589468481	0.0002473041369632	0.001881171105333	3	1	0.888888888888889	7.82675720801484	-0.426696765673193	25911
ENST00000394903.6	ENST00000444643.8	0.425609156606526	0.250472279513903	[1,3.5398]	(3.5398,4]	3.53979619279562	3.83279024380602	0.888888888888889	1.0	4.20629608904493	-3.68706266996701	0.0018220433687217	0.0097366966732701	3	1	0.888888888888889	7.89335875901193	-0.936634552335185	54788
ENST00000378467.8	ENST00000489100.5	0.143541465308726	0.0967932680947616	[1,1.4569]	(1.4569,4]	1.45687794275197	3.76747440133426	1.0	0.888888888888889	-3.7250602615883	2.70762787408139	0.0253231584573394	0.0038878924269175	1	3	0.888888888888889	6.43268813566969	-0.047297410450316	83641
ENST00000357365.8	ENST00000298537.11	0.14497226386654	0.190756385024408	[1,3.3834]	(3.3834,4]	3.38343465190943	5.98449010850869	0.888888888888889	1.0	-3.40287168953946	2.5239859537974	0.0194933296006661	0.0187848604392537	3	1	0.888888888888889	5.92685764333686	-0.266005222359756	10807
