iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000497989.5	ENST00000485178.5	0.291488286574115	0.323275390819095	[1,1.4819]	(1.4819,4]	1.48187993523992	8.2390917775244	1	0.888888888888889	1.70019079743604	-1.78513290904817	0.0162739493859149	0.0151052319958977	1	3	0.888888888888889	3.48532370648421	0.678498269409918
ENST00000393042.3	ENST00000299157.5	0.380237550116996	0.397647042485618	[1,3.2798]	(3.2798,4]	3.27979642655283	6.30852095342471	0.888888888888889	1	-1.17133247065796	2.38603863592979	0.0067476784465107	0.0257432604600356	3	1	0.888888888888889	3.55737110658774	-0.25494457066289
ENST00000545470.5	ENST00000543246.5	0.228356691812776	0.191163303660199	[1,3.6617]	(3.6617,4]	3.661673479682	7.29471898499554	0.888888888888889	1	2.21754631511192	-1.42256563282252	0.0210285899583096	0.031536333351635	3	1	0.888888888888889	3.64011194793444	0.183366299446237
ENST00000294072.9	ENST00000447532.6	0.265800214425355	0.281935453335051	[1,1.5676]	(1.5676,4]	1.56764920838128	9.54320544790552	1	0.888888888888889	3.47338370976023	-1.84321775436869	0.00776196699773247	0.0287028688017413	1	3	0.888888888888889	5.31660146412892	0.0463187487263911
ENST00000626968.2	ENST00000370151.9	0.525800551561901	0.449988311065948	[1,3.6566]	(3.6566,4]	3.65657306993849	20.366880786753	0.111111111111111	0	5.17669826116674	-2.6500589468481	0.000247304136963236	0.00188117110533304	3	1	0.888888888888889	7.82675720801484	-0.426696765673193
ENST00000394903.6	ENST00000444643.8	0.425609156606526	0.250472279513903	[1,3.5398]	(3.5398,4]	3.53979619279562	3.83279024380602	0.888888888888889	1	4.20629608904493	-3.68706266996701	0.00182204336872171	0.00973669667327019	3	1	0.888888888888889	7.89335875901193	-0.936634552335185
ENST00000372731.8	ENST00000358161.9	0.453410518611554	0.41989672823353	[1,3.2862]	(3.2862,4]	3.28619894789042	28.3235842359323	0.888888888888889	1	8.90253928929459	-16.2462242139624	0.0062600941564151	0.00617778649645273	3	1	0.888888888888889	25.148763503257	0.237024185660923
ENST00000517814.1	ENST00000309822.7	0.522162763688871	0.436076888696584	[1,3.542]	(3.542,4]	3.54201206059129	2.36115361456529	0.888888888888889	1	1.00405308185899	-1.20852903003646	0.00478657074977878	0.0272354923677869	3	1	0.888888888888889	2.21258211189545	-0.263676783980217
ENST00000223054.8	ENST00000393950.7	0.382200264717264	0.548287998095022	[1,3.6471]	(3.6471,4]	3.64710667564221	4.11932406988864	0.888888888888889	1	-2.87945046827059	1.67867887954344	0.00488489963110475	0.0398589399137955	3	1	0.888888888888889	4.55812934781403	-0.356569771619449
ENST00000372236.9	ENST00000443535.1	0.208697908934112	0.396126890205875	[1,1.4673]	(1.4673,4]	1.46730514854821	1.11211324122617	1	0.888888888888889	0.943613976343337	-1.65547272748325	0.0291468207009577	0.00301822902028139	1	3	0.888888888888889	2.59908670382659	0.333562361676013
ENST00000375107.8	ENST00000375104.6	0.490071663250437	0.32530009175401	[1,3.6252]	(3.6252,4]	3.62521977148153	18.9434606716519	0.888888888888889	1	14.2876853315922	-11.038125217343	0.0244779284035993	0.00653171392036556	3	1	0.888888888888889	25.3258105489352	-0.83443858228848
ENST00000412094.6	ENST00000515679.1	0.313995610605081	0.319993931529444	[1,3.2775]	(3.2775,4]	3.27749548274843	9.11186999478342	0.888888888888889	1	-2.10679227249148	5.64605043889733	0.00553756997364146	0.00197175340118586	3	1	0.888888888888889	7.75284271138881	-0.658636651148816
ENST00000418939.1	ENST00000438848.5	0.320309140903086	0.329964639260384	[1,3.263]	(3.263,4]	3.26302364273294	9.35548032572823	0.888888888888889	1	-1.59351372999192	3.62265783012977	0.00954053791456711	0.0256687677894898	3	1	0.888888888888889	5.21617156012169	-0.332902125539995
ENST00000429644.7	ENST00000489715.1	0.488306400788525	0.511693599211475	[1,3.161]	(3.161,4]	3.16101325264004	6.96230987795354	0.888888888888889	1	1.0418868179531	-4.2827526346953	0.0470464451491461	0.0271310455960637	3	1	0.888888888888889	5.3246394526484	0.69992340595595
ENST00000343262.9	ENST00000533186.5	0.416133196163112	0.408225442429279	(1.0356,3.4236]	(3.4236,4]	3.4235726912998	950.828721638532	0.833333333333333	1	250.754035171615	-415.835849969797	0.0322720728878935	0.0418291337318237	2	1	0.833333333333333	666.589885141412	0.238559952287617
ENST00000557004.6	ENST00000298841.5	0.374023215992873	0.476644092018364	(1.6803,2.2877]	(2.2877,4]	2.28768198511371	5.50177895378993	1	0.833333333333333	0.89677454982724	-2.82691687325268	0.0130142722555397	0.0190253009404676	1	2	0.833333333333333	3.72369142307992	0.734548152949005
ENST00000606704.1	ENST00000545406.1	0.168734588229068	0.161234035362268	[1,1.5727]	(1.5727,3.7803]	1.57265070806411	3.39365380506957	1	0.833333333333333	-1.80974771882331	1.4516290542828	0.0186234018876766	0.0354183748771397	1	2	0.833333333333333	3.26137677310611	0.222528574223419
ENST00000675843.1	ENST00000452508.6	0.433776113899672	0.304747778911562	[1,2.6618]	(2.6618,3.5336]	2.66184379958035	2.60763664094767	0.833333333333333	1	1.98952657710223	-1.03115744448842	0.0230749531503585	0.0454048076220216	2	1	0.833333333333333	3.02068402159066	-0.611434618112981
ENST00000393946.6	ENST00000527043.6	0.503459620822107	0.386356124401219	[1,2.5363]	(2.5363,4]	2.53628674900893	1.48361401308397	1	0.833333333333333	-0.750017860449962	1.50540575661031	0.00156113538669188	0.0408480054598769	2	2	0.833333333333333	2.25542361706027	-0.72154873748281
ENST00000521082.5	ENST00000322275.9	0.43340229849697	0.397069777050457	[1,2.2435]	(2.2435,4]	2.24346405911735	6.95873856943795	0.833333333333333	1	-1.02494301366343	2.22296667238531	0.0325535561360838	0.00154820345339083	2	2	0.833333333333333	3.24790968604873	-0.162850520320436
ENST00000296632.8	ENST00000505803.5	0.288968403345426	0.295654868383023	[1,1.5755]	(1.5755,3.4625]	1.5755442546203	8.4889913710928	1	0.833333333333333	-2.71627415765059	1.90601508660834	0.00917608435867386	0.0411509987658847	1	2	0.833333333333333	4.62228924425892	0.755472079499514
ENST00000264868.9	ENST00000502949.5	0.445609545913167	0.456419091895213	[1,2.711]	(2.711,4]	2.71101058057775	12.1260903485775	1	0.833333333333333	-2.78884848646025	2.12472311574717	0.0178946334828803	0.0338198086028546	2	2	0.833333333333333	4.91357160220742	0.521811192919673
ENST00000323460.10	ENST00000448068.5	0.422178979824804	0.361382804587698	[1,2.5423]	(2.5423,3.3529]	2.54225519414473	9.38711290895772	0.833333333333333	1	2.06831244341894	-1.6856345436198	0.0112236029936332	0.000382786112132095	2	1	0.833333333333333	3.75394698703874	0.142866513169746
ENST00000372818.5	ENST00000541099.5	0.200882895856268	0.258397483591388	[1,2.8846]	(2.8846,3.2138]	2.8845681176608	3.86576498841554	0.833333333333333	1	-2.36188758796854	0.34267584181631	0.0209345060740492	0.0211457703900797	2	1	0.833333333333333	2.70456342978485	0.767191529280314
ENST00000396628.6	ENST00000574841.2	0.251002062490228	0.266073845362769	(1.1182,2.7332]	(2.7332,4]	2.73321626621677	10.9843840604133	0	0.166666666666667	3.96444551031978	-2.81874351902961	0.0221345536924581	0.0404522164685023	1	2	0.833333333333333	6.78318902934939	0.183546756912285
